,NR_TURNO,NM_UE,CD_CARGO,DS_CARGO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SITUACAO_LEGENDA,DS_SITUACAO,NM_TIPO_DESTINACAO_VOTOS
6,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,51,PATRIOTA,PATRIOTA,-1,#NULO#,#NULO#,#NULO#,250001682231,#NULO#,PATRIOTA,D,DEFERIDO,Válido (legenda)
16,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,22,PL,PARTIDO LIBERAL,-1,#NULO#,#NULO#,#NULO#,250001681568,#NULO#,PL,D,DEFERIDO,Válido (legenda)
19,1,SÃO PAULO,6,DEPUTADO FEDERAL,FEDERAÇÃO,23,CIDADANIA,CIDADANIA,1,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,250001681602,#NULO#,PSDB/CIDADANIA,D,DEFERIDO,Válido (legenda)
37,1,SÃO PAULO,6,DEPUTADO FEDERAL,FEDERAÇÃO,13,PT,PARTIDO DOS TRABALHADORES,2,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,250001681527,#NULO#,PT/PC do B/PV,D,DEFERIDO,Válido (legenda)
49,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,-1,#NULO#,#NULO#,#NULO#,250001681573,#NULO#,PSTU,D,DEFERIDO,Válido (legenda)
50,1,SÃO PAULO,6,DEPUTADO FEDERAL,FEDERAÇÃO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1,Federação PSDB Cidadania,PSDB/CIDADANIA,PSDB/CIDADANIA,250001681602,#NULO#,PSDB/CIDADANIA,D,DEFERIDO,Válido (legenda)
52,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,30,NOVO,PARTIDO NOVO,-1,#NULO#,#NULO#,#NULO#,250001680945,#NULO#,NOVO,D,DEFERIDO,Válido (legenda)
57,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,-1,#NULO#,#NULO#,#NULO#,250001683087,#NULO#,PDT,D,DEFERIDO,Válido (legenda)
59,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,44,UNIÃO,UNIÃO BRASIL,-1,#NULO#,#NULO#,#NULO#,250001681142,#NULO#,UNIÃO,D,DEFERIDO,Válido (legenda)
79,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,-1,#NULO#,#NULO#,#NULO#,250001681693,#NULO#,PMN,D,DEFERIDO,Válido (legenda)
84,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681260,#NULO#,PTB,D,DEFERIDO,Válido (legenda)
95,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,27,DC,DEMOCRACIA CRISTÃ,-1,#NULO#,#NULO#,#NULO#,250001684583,#NULO#,DC,D,DEFERIDO,Válido (legenda)
102,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,70,AVANTE,AVANTE,-1,#NULO#,#NULO#,#NULO#,250001682296,#NULO#,AVANTE,D,DEFERIDO,Válido (legenda)
121,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001682213,#NULO#,PSB,D,DEFERIDO,Válido (legenda)
122,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,20,PSC,PARTIDO SOCIAL CRISTÃO,-1,#NULO#,#NULO#,#NULO#,250001683090,#NULO#,PSC,D,DEFERIDO,Válido (legenda)
123,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,80,UP,UNIDADE POPULAR,-1,#NULO#,#NULO#,#NULO#,250001681140,#NULO#,UP,D,DEFERIDO,Válido (legenda)
125,1,SÃO PAULO,6,DEPUTADO FEDERAL,FEDERAÇÃO,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,3,Federação PSOL REDE,PSOL/REDE,PSOL/REDE,250001681689,#NULO#,PSOL/REDE,D,DEFERIDO,Válido (legenda)
128,1,SÃO PAULO,6,DEPUTADO FEDERAL,FEDERAÇÃO,18,REDE,REDE SUSTENTABILIDADE,3,Federação PSOL REDE,PSOL/REDE,PSOL/REDE,250001681689,#NULO#,PSOL/REDE,D,DEFERIDO,Válido (legenda)
138,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,19,PODE,PODEMOS,-1,#NULO#,#NULO#,#NULO#,250001681496,#NULO#,PODE,D,DEFERIDO,Válido (legenda)
143,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001685178,#NULO#,PRTB,D,DEFERIDO,Válido (legenda)
145,1,SÃO PAULO,6,DEPUTADO FEDERAL,FEDERAÇÃO,65,PC do B,PARTIDO COMUNISTA DO BRASIL,2,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,250001681527,#NULO#,PT/PC do B/PV,D,DEFERIDO,Válido (legenda)
156,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,11,PP,PROGRESSISTAS,-1,#NULO#,#NULO#,#NULO#,250001681596,#NULO#,PP,D,DEFERIDO,Válido (legenda)
157,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,36,AGIR,AGIR,-1,#NULO#,#NULO#,#NULO#,250001685214,#NULO#,AGIR,D,DEFERIDO,Válido (legenda)
158,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO,-1,#NULO#,#NULO#,#NULO#,250001681263,#NULO#,PSD,D,DEFERIDO,Válido (legenda)
160,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,-1,#NULO#,#NULO#,#NULO#,250001684165,#NULO#,PROS,D,DEFERIDO,Válido (legenda)
173,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,21,PCB,PARTIDO COMUNISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001682902,#NULO#,PCB,D,DEFERIDO,Válido (legenda)
183,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,77,SOLIDARIEDADE,SOLIDARIEDADE,-1,#NULO#,#NULO#,#NULO#,250001681312,#NULO#,SOLIDARIEDADE,D,DEFERIDO,Válido (legenda)
186,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,10,REPUBLICANOS,REPUBLICANOS,-1,#NULO#,#NULO#,#NULO#,250001681592,#NULO#,REPUBLICANOS,D,DEFERIDO,Válido (legenda)
189,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,35,PMB,PARTIDO DA MULHER BRASILEIRA,-1,#NULO#,#NULO#,#NULO#,250001682646,#NULO#,PMB,D,DEFERIDO,Válido (legenda)
192,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681566,#NULO#,MDB,D,DEFERIDO,Válido (legenda)
204,1,SÃO PAULO,6,DEPUTADO FEDERAL,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,-1,#NULO#,#NULO#,#NULO#,250001684728,#NULO#,PCO,D,DEFERIDO,Válido (legenda)
210,1,SÃO PAULO,6,DEPUTADO FEDERAL,FEDERAÇÃO,43,PV,PARTIDO VERDE,2,Federação Brasil da Esperança - FE BRASIL,PT/PC do B/PV,PT/PC do B/PV,250001681527,#NULO#,PT/PC do B/PV,D,DEFERIDO,Válido (legenda)
